"SEASON","ENGGOAL","ITGOAL"
1970,2.52909270216962524654832347140039447732,2.10416666666666666666666666666666666667
1971,2.59220907297830374753451676528599605523,2.0125
1972,2.48224852071005917159763313609467455621,1.87083333333333333333333333333333333333
1973,2.43561914158855451406018746916625555007,2.07083333333333333333333333333333333333
1974,2.50641025641025641025641025641025641026,1.94583333333333333333333333333333333333
1975,2.57297830374753451676528599605522682446,2.25833333333333333333333333333333333333
1976,2.6420118343195266272189349112426035503,2.21666666666666666666666666666666666667
1977,2.59664694280078895463510848126232741617,2.13333333333333333333333333333333333333
1978,2.55818540433925049309664694280078895464,1.89583333333333333333333333333333333333
1979,2.56607495069033530571992110453648915187,1.88333333333333333333333333333333333333
1980,2.46646942800788954635108481262327416174,1.9125
1981,2.60207100591715976331360946745562130178,1.975
1982,2.77465483234714003944773175542406311637,2.10416666666666666666666666666666666667
1983,2.74852071005917159763313609467455621302,2.3875
1984,2.72386587771203155818540433925049309665,2.1
1985,2.79980276134122287968441814595660749507,2.0625
1986,2.60009861932938856015779092702169625247,1.925
1987,2.6241379310344827586206896551724137931,2.1
1988,2.66208251473477406679764243614931237721,2.10784313725490196078431372549019607843
1989,2.62868369351669941060903732809430255403,2.23529411764705882352941176470588235294
1990,2.6159135559921414538310412573673870334,2.29411764705882352941176470588235294118
1991,2.60059171597633136094674556213017751479,2.27124183006535947712418300653594771242
1992,2.69280078895463510848126232741617357002,2.80392156862745098039215686274509803922
1993,2.67159763313609467455621301775147928994,2.42156862745098039215686274509803921569
1994,2.59023668639053254437869822485207100592,2.52614379084967320261437908496732026144
1995,2.53683693516699410609037328094302554028,2.63071895424836601307189542483660130719
1996,2.50392927308447937131630648330058939096,2.64052287581699346405228758169934640523
1997,2.55255402750491159135559921414538310413,2.76797385620915032679738562091503267974
1998,2.53781925343811394891944990176817288802,2.76143790849673202614379084967320261438
1999,2.53339882121807465618860510805500982318,2.49673202614379084967320261437908496732
2000,2.56777996070726915520628683693516699411,2.76143790849673202614379084967320261438
2001,2.63015717092337917485265225933202357564,2.63398692810457516339869281045751633987
2002,2.62868369351669941060903732809430255403,2.57843137254901960784313725490196078431
2003,2.60559921414538310412573673870333988212,2.66666666666666666666666666666666666667
2004,2.56139489194499017681728880157170923379,2.52631578947368421052631578947368421053
2005,2.48575638506876227897838899803536345776,2.60789473684210526315789473684210526316
2006,2.51866404715127701375245579567779960707,2.55
2007,2.53339882121807465618860510805500982318,2.55263157894736842105263157894736842105
2008,2.54518664047151277013752455795677799607,2.6
2009,2.64390962671905697445972495088408644401,2.61052631578947368421052631578947368421
2010,2.74459724950884086444007858546168958743,2.51315789473684210526315789473684210526
2011,2.66797642436149312377210216110019646365,2.55789473684210526315789473684210526316
2012,2.62229862475442043222003929273084479371,2.63947368421052631578947368421052631579
2013,2.57858546168958742632612966601178781925,2.72368421052631578947368421052631578947
2014,2.56876227897838899803536345776031434185,2.69473684210526315789473684210526315789
2015,2.59921414538310412573673870333988212181,2.57631578947368421052631578947368421053
